Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based KNN,10,5,3,10,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",28.76429396,2.876429396,0.373949678,0.390165983,0.091695238,0.180699903,0.00268381,0,0.1,0.1,0.09,"{3.0: 0.004147640791476408, 4.0: 0.002702702702702703, 4.5: 0.0027777777777777775, 5.0: 0.010863378876225122}"
User-Based KNN,10,5,3,10,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",2.83659462,0.283659462,1.272594445,1.341842507,0.113161905,0.453055329,0.016140952,0,0.34,0.11,0.265,"{3.0: 0.010221992178513918, 3.5: 0.0018518518518518517, 4.0: 0.01638535556052542, 4.5: 0.002881136950904393, 5.0: 0.014198297097627011}"
Random Control,10,5,3,10,predict,sims,{'randomRatings': True},0.01662406,0.001662406,0.001347384,0.001347384,1,0.000414212,0.469065714,0,0.01,0.01,0.005,{3.0: 0.0013157894736842105}
Item-Based CF,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",0.10849069,0.010849069,0.739114251,0.841975558,0.273685714,0.341955711,0.079308571,0,0.27,0.27,0.22,"{2.0: 0.0012987012987012987, 2.5: 0.00024271844660194174, 3.0: 0.007397504456327986, 3.5: 0.0018075491759702287, 4.0: 0.006332436053798282, 4.5: 0.0018075491759702287, 5.0: 0.01743060182948636}"
User-Based CF,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",12.11026485,1.211026485,0.409740741,0.453253967,0.257257143,0.360197001,0.006569524,0,0.11,0.07,0.075,"{2.0: 0.002325581395348837, 4.0: 0.003826232198093802, 4.5: 0.0010033444816053513, 5.0: 0.0022575250836120403}"
Item-Based KNN,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",30.05740525,3.005740525,0.104465538,0.107996993,0.1248,0.133094792,0.006775238,0,0.1,0.1,0.08,"{4.0: 0.0003891050583657588, 4.5: 0.004661000292023272, 5.0: 0.006059737004227477}"
User-Based KNN,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",3.00499472,0.300499472,0.681972472,0.766514745,0.10592381,0.435167645,0.006297143,0,0.33,0.26,0.265,"{3.0: 0.003403779719569193, 3.5: 0.007280194217462653, 4.0: 0.01606847685795294, 4.5: 0.00469317854995163, 5.0: 0.007435127959566879}"
Random Control,10,5,3,10,predict,norm_sims,{'randomRatings': True},0.01701329,0.001701329,0.514407695,0.514407695,1,0.000565822,0.514412381,0,0.02,0,0.015,{4.0: 0.0012184052506633153}
Item-Based CF,10,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",75.3710012,0.106757792,0.64879789,0.731561263,0.301687171,0.352360995,0.063212276,0.02266289,0.219830028,0.219830028,0.17131728,"{0.5: 4.052532715595914e-05, 1.0: 8.112425160021411e-05, 1.5: 0.0002490872268230553, 2.0: 0.0010559604180806112, 2.5: 0.0006728671753632434, 3.0: 0.004469058571128587, 3.5: 0.004306584510052096, 4.0: 0.010872194463640676, 4.5: 0.00528856495402423, 5.0: 0.007354293725081661}"
User-Based CF,10,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",987.1683087,1.398255395,0.390337343,0.42186459,0.216556994,0.400196689,0.005287185,0,0.135269122,0.135269122,0.104249292,"{0.5: 8.910827288754751e-06, 1.0: 6.07479556337139e-05, 1.5: 6.50372885106771e-05, 2.0: 0.0001823458416515978, 2.5: 0.0004319228577114556, 3.0: 0.0012967346222414417, 3.5: 0.0020996230550218813, 4.0: 0.005052719666685979, 4.5: 0.0031028371328121612, 5.0: 0.004120121077750437}"
Item-Based KNN,10,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",3964.714371,5.615742735,0.529303152,0.557534029,0.129527452,0.153044386,0.003329543,0.02407932,0.105382436,0.105382436,0.083002833,"{0.5: 4.136234702825324e-05, 1.0: 0.0001081842315306863, 1.5: 5.9215376667507434e-05, 2.0: 0.00030312741096300585, 2.5: 0.0002796373164885058, 3.0: 0.002230856659619263, 3.5: 0.0018554027136393819, 4.0: 0.005416772050520103, 4.5: 0.0028130968821902173, 5.0: 0.0040643762879958995}"
User-Based KNN,10,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",495.6440681,0.702045422,0.676015374,0.732385198,0.131094833,0.414831152,0.00767298,0.004249292,0.247308782,0.244192635,0.193909348,"{0.5: 4.17920842422563e-05, 1.0: 0.000210551022348553, 1.5: 8.7214089567351e-05, 2.0: 0.0003401008321649286, 2.5: 0.0005461830415572717, 3.0: 0.003264986073495611, 3.5: 0.003759582032187294, 4.0: 0.010488146258008698, 4.5: 0.006133542639737455, 5.0: 0.009275228493852636}"
Item-Based CF,30,5,3,706,threshold,0,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",75.9705838,0.107607059,0.756949396,0.924257337,0.297835694,0.443855737,0.080490939,0.036827195,0.192540132,0.192445703,0.090886056,"{0.5: 0.0002485077238288446, 1.0: 0.0008305404918947037, 1.5: 0.0005651906317143042, 2.0: 0.0026302442594590704, 2.5: 0.002399054290902282, 3.0: 0.012582344526477636, 3.5: 0.009974753935763867, 4.0: 0.028190835489605676, 4.5: 0.012717469803648304, 5.0: 0.016868314355659404}"
