Traffic Day,Traffic New or Returning Visitor,Traffic Referring Category Ø,Traffic Referring Site Ø,Traffic Referring URL,Traffic UTM Campaign Name Ø,Traffic UTM Campaign Medium Ø,Traffic UTM Campaign Source Ø,Traffic Page Path Ø,Traffic Page URL,Traffic Country,Traffic Region,Traffic City,Traffic Device Type,Traffic Browser,Traffic Browser Version,Traffic Operating System,Traffic Is the First Page Viewed Ø (Yes / No),Traffic Is the Last Page Viewed Ø (Yes / No),Traffic Next Page Viewed Ø,Traffic Previous Page Viewed Ø,Traffic Page Views,Traffic Site Sessions Ø,Traffic Unique Visitors,Traffic Site Bounce Rate Ø,Traffic Avg. Session Duration Ø,Traffic Avg. Time on Page Ø,Traffic Avg. Pages per Session Ø
27/06/2020,New Visitor,Organic Search,bing.com,http://www.bing.com/search?q=amazon,_,_,_,/,http://jorjmakesmusic.com,Canada,ON,Toronto,Desktop,Chrome,76.0.3809.71,Windows,Yes,Yes,N/A,N/A,2,2,2,1,0,0,1
30/10/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,N/A,N/A,N/A,Desktop,Chrome,71.0.3563.0,Linux,Yes,Yes,N/A,N/A,2,2,2,1,0,0,1
18/06/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/news/single-2,http://jorjmakesmusic.com/news/single-2,United Kingdom,LEW,N/A,Desktop,Chrome,83.0.4103.106,Windows,No,Yes,N/A,/news,2,1,1,0,0.000902778,0,1
22/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/early-access,http://jorjmakesmusic.com/early-access,United Kingdom,GRE,Greenwich,Desktop,Chrome,81.0.4044.138,Windows,No,No,/exclusive,/exclusive,2,1,1,0,0.021354167,5.80E-05,1
20/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,ENG,London,Desktop,Chrome,81.0.4044.138,Windows,No,Yes,N/A,/,1,1,1,0,1.16E-05,0,1
21/05/2020,Returning Visitor,Social,facebook.com,https://l.facebook.com,_,_,_,/maturity,http://jorjmakesmusic.com/maturity?fbclid=iwar1odmbd_c2nni8ptdnuu9vzyuhkoa2gzdotpu_pypok0cybmjqxh97vpd0,United Kingdom,MRT,Wimbledon,Desktop,Safari,13.1,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
04/10/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,N/A,N/A,N/A,Desktop,Chrome,71.0.3563.0,Linux,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
12/06/2020,New Visitor,Referral,spotifycs--c.eu25.visual.force.com,https://spotifycs--c.eu25.visual.force.com/,_,_,_,/,http://jorjmakesmusic.com,United States,CO,Aurora,Desktop,Chrome,83.0.4103.97,Windows,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
05/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,WSX,Burgess Hill,Mobile,Safari,139.1.0.39.120,Mac OS,No,Yes,N/A,/video,1,1,1,0,0.000752315,0,1
08/06/2020,New Visitor,Direct,Direct,N/A,_,_,_,/video,http://jorjmakesmusic.com/video,United Kingdom,SRY,Camberley,Mobile,Chrome,83.0.4103.96,Android,No,Yes,N/A,/,1,1,1,0,0.000127315,0,1
22/05/2020,New Visitor,Social,facebook.com,https://www.facebook.com,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,SRY,Camberley,Desktop,Safari,13.1,Mac OS,No,Yes,N/A,/maturity,1,1,1,0,0.001446759,0,1
01/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,LEW,N/A,Desktop,Chrome,81.0.4044.129,Windows,No,No,/contact,/news,1,1,1,0,0.017731481,0.0001735,2
06/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com/,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,BKM,Aylesbury,Mobile,Chrome,268.1.0.54.121,Android,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
03/06/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,ESX,Lewes,Desktop,Chrome,83.0.4103.61,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
24/12/2020,New Visitor,Social,facebook.com,http://facebook.com/,_,_,_,/,https://jorjmakesmusic.com,United Kingdom,NSM,Weston-super-Mare,Mobile,Facebook,300.0.0.57.128,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
02/12/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,N/A,N/A,N/A,Desktop,Chrome,71.0.3563.0,Linux,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
05/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/news,http://jorjmakesmusic.com/news,United Kingdom,ISL,Islington,Mobile,Safari,13.0.5,Mac OS,No,No,/news/it-be-official,/contact,1,1,1,0,0.003703704,0.0001155,1
14/07/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/news,https://jorjmakesmusic.com/news,United Kingdom,LEW,New Cross,Desktop,Chrome,83.0.4103.116,Windows,No,No,/,/,1,1,1,0,0.013125,0.012951,1
05/05/2020,New Visitor,Social,facebook.com,https://m.facebook.com/,_,_,_,/,http://jorjmakesmusic.com/?fbclid=iwar2me5ht8nvy7vy8ecfwdjs_9-u8xof-rzd0cysapkeldrwb0sekpbxrobs,United Kingdom,SRY,Camberley,Mobile,Chrome,81.0.4044.117,Android,Yes,No,/contact,N/A,1,1,1,0,0.004293981,0.000108,2
05/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,HRT,St Albans,Mobile,Safari,140.0.0.25.126,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
