Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based CF,30,5,3,706,sample,1150,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",242.5927855,0.343615843,0.577085666,0.715360664,0.453633752,0.401364064,0.095555371,,0.288621341,0.286355052,0.139826881,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007110337449964275, 2.0: 0.004604595363386625, 2.5: 0.004699742586774254, 3.0: 0.021062694754790365, 3.5: 0.016120005701321393, 4.0: 0.03517861635277658, 4.5: 0.01270585237774535, 5.0: 0.01757220046373195}"
Item-Based CF,30,5,3,706,sample,1200,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",243.3297032,0.344659636,0.576956413,0.715025944,0.453566977,0.401469617,0.095607631,,0.289140699,0.286827195,0.14009915,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007110337449964275, 2.0: 0.00461439765124061, 2.5: 0.00470407680772694, 3.0: 0.0210770866382621, 3.5: 0.01613195733876587, 4.0: 0.03517804173985338, 4.5: 0.012708719646156082, 5.0: 0.01757220046373195}"
Item-Based CF,30,5,3,706,sample,1250,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",243.9120028,0.345484423,0.576972509,0.714862065,0.453510455,0.401551341,0.095660353,,0.289235127,0.286921624,0.140073182,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007110337449964275, 2.0: 0.004610874192049315, 2.5: 0.00470407680772694, 3.0: 0.02108117121879829, 3.5: 0.016145748470001973, 4.0: 0.03517686500292976, 4.5: 0.012707659797766637, 5.0: 0.017570393043710664}"
Item-Based CF,30,5,3,706,sample,1300,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",244.5961585,0.346453482,0.576991197,0.714776279,0.453458924,0.401532982,0.095642565,,0.289187913,0.28687441,0.140160529,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007110337449964275, 2.0: 0.004610874192049315, 2.5: 0.00470407680772694, 3.0: 0.021075234456813956, 3.5: 0.016150391523897013, 4.0: 0.03517632518999037, 4.5: 0.012707659797766637, 5.0: 0.017570393043710664}"
Item-Based CF,30,5,3,706,sample,1350,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",245.2900658,0.347436354,0.577080711,0.714809276,0.45343019,0.40149346,0.095686191,,0.289518414,0.28720491,0.140312402,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007110337449964275, 2.0: 0.004613920279350176, 2.5: 0.00470407680772694, 3.0: 0.021086119312358136, 3.5: 0.016147885249535542, 4.0: 0.03518349699047089, 4.5: 0.012710527066177367, 5.0: 0.017572135270764663}"
Item-Based CF,30,5,3,706,sample,1400,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.1016329,0.348585882,0.576863404,0.714785497,0.45337731,0.401594326,0.09577963,,0.289896128,0.287582625,0.140487882,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004613920279350176, 2.5: 0.00470407680772694, 3.0: 0.021085641940467702, 3.5: 0.016166717538037632, 4.0: 0.03518811404874712, 4.5: 0.012710527066177367, 5.0: 0.01757285390259419}"
Item-Based CF,30,5,3,706,sample,1450,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.2506056,0.348796892,0.576817332,0.714718222,0.45334453,0.401607999,0.095788376,,0.289990557,0.287677054,0.140537457,"{0.5: 0.0004863089572497359, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004613920279350176, 2.5: 0.00470407680772694, 3.0: 0.021085641940467702, 3.5: 0.01616963372842399, 4.0: 0.03519707558962681, 4.5: 0.012707659797766637, 5.0: 0.017569268002353932}"
Item-Based CF,30,5,3,706,sample,1500,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.5312265,0.349194372,0.577126447,0.715192581,0.453277216,0.401648889,0.095815306,,0.290179415,0.287865911,0.14063582,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004616966366651038, 2.5: 0.004707644642978579, 3.0: 0.02108207410521606, 3.5: 0.016172500996834722, 4.0: 0.03519707558962681, 4.5: 0.012710527066177367, 5.0: 0.017569268002353932}"
Item-Based CF,30,5,3,706,sample,1550,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.4331538,0.349055459,0.57710288,0.71515475,0.453217726,0.401654788,0.095803327,,0.290226629,0.287913126,0.140646837,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004616966366651038, 2.5: 0.004707644642978579, 3.0: 0.02108455907117203, 3.5: 0.016176151591151475, 4.0: 0.03519707558962681, 4.5: 0.012707659797766637, 5.0: 0.017569268002353932}"
Item-Based CF,30,5,3,706,sample,1600,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",246.6400299,0.349348484,0.577041713,0.715057795,0.453154189,0.401670763,0.095787486,,0.290415486,0.288101983,0.140697199,"{0.5: 0.0004887939232057023, 1.0: 0.001141463762511595, 1.5: 0.0007139010134071581, 2.0: 0.004616966366651038, 2.5: 0.004711082581315717, 3.0: 0.021087044037127994, 3.5: 0.016177893818205474, 4.0: 0.03519707558962681, 4.5: 0.012710144763722602, 5.0: 0.017569268002353932}"
