Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
User-Based CF,30,5,3,706,sample,30,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",933.1658436,1.321764651,0.626517962,0.70225716,0.082208148,0.693010623,0.014546504,,0.106657224,0.106657224,0.04843091,"{0.5: 0.00015180413209972475, 1.0: 0.00019100323304599578, 1.5: 0.00020797399462293983, 2.0: 0.0008381504811167096, 2.5: 0.0007205878531957198, 3.0: 0.003550814875360855, 3.5: 0.004286339737072739, 4.0: 0.013040555146325678, 4.5: 0.007114940760061491, 5.0: 0.009698565319354152}"
User-Based CF,30,5,3,706,sample,40,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",940.8615525,1.332665089,0.605159972,0.682678253,0.105144476,0.6587991,0.012969666,,0.109395656,0.109395656,0.049741895,"{0.5: 0.00014292146186956764, 1.0: 0.00021486602934746364, 1.5: 0.00021887985482803966, 2.0: 0.0007051736652114057, 2.5: 0.0006994601654774268, 3.0: 0.0037111657017493533, 3.5: 0.004278889146426608, 4.0: 0.013337695077381483, 4.5: 0.007661698705347891, 5.0: 0.009930978447945247}"
User-Based CF,30,5,3,706,sample,50,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",935.8354762,1.325546,0.608982314,0.685137947,0.125970727,0.631926931,0.011919942,,0.107223796,0.107223796,0.048633931,"{0.5: 0.00013284311355353068, 1.0: 0.00024179091563334326, 1.5: 0.0002273666671526578, 2.0: 0.0006834008812515587, 2.5: 0.0007731150859777234, 3.0: 0.003675205808318769, 3.5: 0.004441552988539129, 4.0: 0.012756698576327333, 4.5: 0.007595839714402035, 5.0: 0.009547309859209097}"
User-Based CF,30,5,3,706,sample,60,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",944.6848765,1.338080562,0.596374625,0.672626329,0.145380548,0.608906257,0.011329098,,0.109017941,0.109017941,0.049507397,"{0.5: 0.0001551303931649012, 1.0: 0.00020339110018810762, 1.5: 0.0002770659862719859, 2.0: 0.0007449543590864265, 2.5: 0.0006987870463645439, 3.0: 0.003602349163141106, 3.5: 0.0041952043249041055, 4.0: 0.01335898969449628, 4.5: 0.007724926193672095, 5.0: 0.009538483032586642}"
User-Based CF,30,5,3,706,sample,70,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",967.4988879,1.370395025,0.595183288,0.671717658,0.164293943,0.589155841,0.010738999,,0.110056657,0.110056657,0.049377557,"{0.5: 0.00014702500704960006, 1.0: 0.00022854876089488228, 1.5: 0.00029424425471758696, 2.0: 0.0007640207464346303, 2.5: 0.0007366194130485724, 3.0: 0.0035040367664612737, 3.5: 0.004384144156340415, 4.0: 0.013114451987409086, 4.5: 0.007983457417516516, 5.0: 0.009432431966004205}"
User-Based CF,30,5,3,706,sample,80,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",968.5804508,1.371926984,0.596705517,0.671839686,0.182322002,0.572710921,0.010331876,,0.11095373,0.11095373,0.049377557,"{0.5: 0.00013512222894118957, 1.0: 0.0002129542529796569, 1.5: 0.0003092905870443725, 2.0: 0.0007823492996812771, 2.5: 0.0006820332535073117, 3.0: 0.0035576109127185194, 3.5: 0.0042115042754617745, 4.0: 0.013297696786506497, 4.5: 0.007976107700203437, 5.0: 0.009295213170447427}"
User-Based CF,30,5,3,706,sample,90,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",968.7196406,1.372124137,0.599229011,0.675503662,0.199537839,0.557361591,0.00999536,,0.112181303,0.112181303,0.049416116,"{0.5: 0.00015019063952524116, 1.0: 0.00023409500812743078, 1.5: 0.00030150800135810414, 2.0: 0.0007504110923678276, 2.5: 0.0008092764718811144, 3.0: 0.0036640394579251184, 3.5: 0.0045487850777206585, 4.0: 0.013225578788481534, 4.5: 0.007840518198625804, 5.0: 0.009267607669639235}"
User-Based CF,30,5,3,706,sample,100,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",967.3014153,1.370115319,0.599219622,0.673177018,0.21634453,0.54367697,0.009669661,,0.113031161,0.113031161,0.049762354,"{0.5: 0.00013682808674315769, 1.0: 0.0002695066482950858, 1.5: 0.000319093914277251, 2.0: 0.0007598463694063563, 2.5: 0.0008071099137475722, 3.0: 0.003644006147519891, 3.5: 0.004574691864759431, 4.0: 0.01356646532176921, 4.5: 0.007845807561328251, 5.0: 0.00916532429156188}"
User-Based CF,30,5,3,706,sample,150,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",971.7949069,1.376480038,0.618596283,0.699506871,0.290209902,0.496381527,0.009224021,,0.128375826,0.128375826,0.057042808,"{0.5: 0.00015055302047715856, 1.0: 0.0003246425613309055, 1.5: 0.0001627265084414084, 2.0: 0.0006140893337562865, 2.5: 0.0009923178952451284, 3.0: 0.0036038347344274266, 3.5: 0.005491902276604604, 4.0: 0.013251676863072935, 4.5: 0.00861959721995659, 5.0: 0.010646774975310157}"
User-Based CF,30,5,3,706,sample,200,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",986.8271239,1.39777213,0.612646186,0.697387498,0.356380413,0.461925094,0.008431795,,0.132200189,0.132152975,0.057210419,"{0.5: 0.00015789203910358785, 1.0: 0.0003251279384632783, 1.5: 0.00018934201992315704, 2.0: 0.0007015150187497064, 2.5: 0.0009273341769607167, 3.0: 0.003637026238252717, 3.5: 0.006086030834375601, 4.0: 0.0137814805831905, 4.5: 0.008917557251379715, 5.0: 0.010346046728657118}"
User-Based KNN,30,5,3,706,sample,10,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",454.4828445,0.643743406,0.807014773,0.905603877,0.018278025,0.824158682,0.030264171,,0.151180359,0.14631728,0.070934057,"{0.5: 0.0002928366864357699, 1.0: 0.0006697091263493046, 1.5: 0.00032275647604200285, 2.0: 0.0016469026305826321, 2.5: 0.0015387373956460622, 3.0: 0.008971924335994974, 3.5: 0.006788520550272886, 4.0: 0.019815923895053923, 4.5: 0.009034293491066539, 5.0: 0.013527424510086601}"
User-Based KNN,30,5,3,706,sample,20,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",454.505596,0.643775632,0.811118088,0.910548079,0.03531782,0.764038307,0.02138334,,0.167563739,0.162559018,0.077848599,"{0.5: 0.00026280541411397956, 1.0: 0.0004613038989308331, 1.5: 0.0003272509562671716, 2.0: 0.0015015603379909235, 2.5: 0.0014130751564463973, 3.0: 0.008642504362798415, 3.5: 0.0068638864073342016, 4.0: 0.022813385946573998, 4.5: 0.010751358187462983, 5.0: 0.01640668319180469}"
User-Based KNN,30,5,3,706,sample,30,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",454.1073995,0.643211614,0.812732247,0.908917716,0.051447187,0.721352616,0.018458928,,0.175873466,0.171340888,0.0802644,"{0.5: 0.00020430469003877947, 1.0: 0.0003385930706696152, 1.5: 0.00027437253836684063, 2.0: 0.0014309153177976047, 2.5: 0.0012336090469045114, 3.0: 0.008500562232712477, 3.5: 0.007067717450250318, 4.0: 0.023302424258971853, 4.5: 0.011833508674939874, 5.0: 0.017569756560794042}"
User-Based KNN,30,5,3,706,sample,40,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",455.2941444,0.644892556,0.816822448,0.914287404,0.065241468,0.682683204,0.016742596,,0.183899906,0.179367328,0.082810041,"{0.5: 0.00020535280916371036, 1.0: 0.00035071327161578114, 1.5: 0.0002333106982751287, 2.0: 0.0013833497896148642, 2.5: 0.0012840222013850613, 3.0: 0.0084299658995804, 3.5: 0.007375631199526424, 4.0: 0.024716739681940377, 4.5: 0.012375583093529211, 5.0: 0.018893599992041155}"
User-Based KNN,30,5,3,706,sample,50,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",457.1994795,0.647591331,0.815619707,0.914675397,0.078190746,0.654903412,0.015905639,,0.188762984,0.184088763,0.085349386,"{0.5: 0.00022399005383345836, 1.0: 0.0003562749607806618, 1.5: 0.0003329534826787863, 2.0: 0.0013932960833492227, 2.5: 0.001272849592265068, 3.0: 0.008369409420120731, 3.5: 0.007605079816563473, 4.0: 0.02537747799259672, 4.5: 0.012463815283411533, 5.0: 0.019655143403490595}"
User-Based KNN,30,5,3,706,sample,60,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",456.9247435,0.647202186,0.814781664,0.917078907,0.089784837,0.629324339,0.015274203,,0.197544854,0.19272899,0.088785017,"{0.5: 0.00020535280916371036, 1.0: 0.0004278981889517181, 1.5: 0.0003125114786090535, 2.0: 0.0014447369881110399, 2.5: 0.0013981832128279492, 3.0: 0.009298627493157083, 3.5: 0.008127228791993723, 4.0: 0.026268920596182656, 4.5: 0.013042709815358447, 5.0: 0.020410843167645194}"
User-Based KNN,30,5,3,706,sample,70,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",459.8624175,0.651363198,0.815291315,0.916016688,0.101041414,0.60691498,0.014712833,,0.20217186,0.197403211,0.090572867,"{0.5: 0.00018792031852023311, 1.0: 0.0003815434808739639, 1.5: 0.0002789783743521044, 2.0: 0.0013566661530366388, 2.5: 0.0014897839204249242, 3.0: 0.00957979842145894, 3.5: 0.008349468249847877, 4.0: 0.027064369777964833, 4.5: 0.01330045773384116, 5.0: 0.020789027816171986}"
User-Based KNN,30,5,3,706,sample,80,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",457.9193772,0.648611016,0.820745271,0.924465465,0.111812357,0.58834654,0.014439754,,0.206137866,0.200802644,0.091803588,"{0.5: 0.00017912261296184275, 1.0: 0.0004755964234242775, 1.5: 0.0002766176566939363, 2.0: 0.0014824201973151275, 2.5: 0.0014804776119976522, 3.0: 0.009476669583399693, 3.5: 0.008769815351628992, 4.0: 0.027342435612856642, 4.5: 0.013842383073227806, 5.0: 0.021248624110242278}"
User-Based KNN,30,5,3,706,sample,90,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",460.4810094,0.65223939,0.813439509,0.918269866,0.121671928,0.569324848,0.014174815,,0.214164306,0.208498584,0.094483003,"{0.5: 0.0001703249074034524, 1.0: 0.0004729461374878725, 1.5: 0.0002810440023030015, 2.0: 0.0014830462599242666, 2.5: 0.001489121458105207, 3.0: 0.010284042500761892, 3.5: 0.009633657793873393, 4.0: 0.028627898714795277, 4.5: 0.014211092960648484, 5.0: 0.021769701156401453}"
User-Based KNN,30,5,3,706,sample,100,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",463.3937838,0.656365133,0.811955253,0.915699288,0.130663834,0.553429727,0.013813773,,0.216477809,0.210812087,0.095915958,"{0.5: 0.0001703249074034524, 1.0: 0.0004018060223638599, 1.5: 0.00026729224895444953, 2.0: 0.0014812937660897767, 2.5: 0.001491998577503415, 3.0: 0.010317026020911205, 3.5: 0.009761664687186887, 4.0: 0.02902766823941724, 4.5: 0.014329707103135624, 5.0: 0.021994827709908956}"
Item-Based CF,30,5,3,706,neighbours,10,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",67.5696611,0.095707735,0.733679095,0.907957732,0.05201268,0.655547224,0.075569405,,0.194050992,0.193909348,0.087727416,"{0.5: 0.00033220041956432734, 1.0: 0.0006126583651837204, 1.5: 0.0003044838037971479, 2.0: 0.0023043378328862383, 2.5: 0.0018357419803021451, 3.0: 0.011942592498672869, 3.5: 0.009237283177159024, 4.0: 0.02784289545925136, 4.5: 0.012482594467346814, 5.0: 0.020578521272866468}"
Item-Based CF,30,5,3,706,neighbours,20,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",68.3786399,0.096853598,0.751701164,0.925497687,0.094929988,0.586507524,0.074855448,,0.195420208,0.195420208,0.091111111,"{0.5: 0.0002547762434574561, 1.0: 0.0007312071295753369, 1.5: 0.00026074900900576646, 2.0: 0.0024048445744805657, 2.5: 0.0018590644285615152, 3.0: 0.01248966816584038, 3.5: 0.010119128755445427, 4.0: 0.02718475135638306, 4.5: 0.012301717171103734, 5.0: 0.020005902527498263}"
Item-Based CF,30,5,3,706,neighbours,30,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",70.0927276,0.099281484,0.778967509,0.952042467,0.130538513,0.548470189,0.076431831,,0.19598678,0.19598678,0.090590966,"{0.5: 0.00028581822443949625, 1.0: 0.0007965087091266572, 1.5: 0.00031081895019299273, 2.0: 0.002443603040568008, 2.5: 0.001831078454470289, 3.0: 0.012947159933910567, 3.5: 0.009891848010534762, 4.0: 0.027666005378128033, 4.5: 0.01169033966667083, 5.0: 0.019385665588471022}"
Item-Based CF,30,5,3,706,neighbours,40,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",71.1838846,0.100827032,0.773771385,0.947707621,0.161729799,0.524241944,0.07775065,,0.19414542,0.19414542,0.09007633,"{0.5: 0.0003811430250356082, 1.0: 0.0006820772889382604, 1.5: 0.00032685642432166, 2.0: 0.002475166504813223, 2.5: 0.0019204863168658486, 3.0: 0.01295480679411896, 3.5: 0.00980271779149966, 4.0: 0.02758061025721865, 4.5: 0.011802259042002099, 5.0: 0.018693976106564418}"
Item-Based CF,30,5,3,706,neighbours,50,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",73.0150372,0.103420733,0.769834771,0.941920876,0.189626602,0.504545241,0.078845434,,0.191831917,0.191831917,0.088350645,"{0.5: 0.00042302677095127944, 1.0: 0.000683312815325258, 1.5: 0.0003000130008060844, 2.0: 0.0022945836347979796, 2.5: 0.0017784447934316267, 3.0: 0.012566440297393231, 3.5: 0.009623146583345574, 4.0: 0.027700807549896084, 4.5: 0.01181175841946635, 5.0: 0.018358560406543257}"
Item-Based CF,30,5,3,706,neighbours,60,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",73.8250931,0.104568121,0.769124607,0.940297124,0.215420882,0.490158503,0.079448608,,0.190321058,0.190321058,0.08823497,"{0.5: 0.00037748352852271416, 1.0: 0.0006925773486277279, 1.5: 0.00021641603501940828, 2.0: 0.0022400585424271276, 2.5: 0.0017992666869766423, 3.0: 0.012687530017822945, 3.5: 0.00947299294457963, 4.0: 0.027341702145078455, 4.5: 0.01163648651256718, 5.0: 0.018531785587958406}"
Item-Based CF,30,5,3,706,neighbours,70,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",74.3749976,0.105347022,0.772801463,0.942715365,0.239280993,0.479499095,0.079816161,,0.187771483,0.187771483,0.087330028,"{0.5: 0.0004296131618927186, 1.0: 0.0007072015317416731, 1.5: 0.0002484445972366167, 2.0: 0.0022553388037111132, 2.5: 0.0018747747629117865, 3.0: 0.012762364900616332, 3.5: 0.009537586862869957, 4.0: 0.0263356975195198, 4.5: 0.011414246755444498, 5.0: 0.017986155855038457}"
Item-Based CF,30,5,3,706,neighbours,80,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",75.4812534,0.106913957,0.772588556,0.944105059,0.261631323,0.469921927,0.079680031,,0.187865911,0.187865911,0.087454359,"{0.5: 0.000359134475562874, 1.0: 0.0006308876509559206, 1.5: 0.00026772447252810817, 2.0: 0.002421413278520162, 2.5: 0.0017770725694891117, 3.0: 0.01267320760828825, 3.5: 0.00955976268020236, 4.0: 0.026280830396347245, 4.5: 0.01120958120729386, 5.0: 0.018179716271948792}"
Item-Based CF,30,5,3,706,neighbours,90,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",76.0828681,0.107766102,0.764487992,0.932241346,0.282354647,0.460595963,0.080240897,,0.188101983,0.188101983,0.087065628,"{0.5: 0.000359134475562874, 1.0: 0.0005705665390110656, 1.5: 0.0002790327884187319, 2.0: 0.0023990584768506782, 2.5: 0.001829372327989196, 3.0: 0.01266675103049593, 3.5: 0.009614083477326993, 4.0: 0.02619366784681201, 4.5: 0.011177268851676287, 5.0: 0.0183656887783636}"
Item-Based CF,30,5,3,706,neighbours,100,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",77.1303804,0.109249831,0.778440801,0.935281525,0.303749629,0.445415587,0.082569837,,0.184183192,0.184183192,0.085713724,"{0.5: 0.00010748008568223567, 1.0: 0.0006545710118842993, 1.5: 0.0004294813851072281, 2.0: 0.002480532484183511, 2.5: 0.0022028457108746627, 3.0: 0.014206184342266124, 3.5: 0.01112416348171041, 4.0: 0.027249120822695115, 4.5: 0.012173674790065358, 5.0: 0.016293929903465513}"
Item-Based KNN,30,5,3,706,neighbours,10,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3449.430058,4.88587827,0.680047412,0.842199902,0.028402266,0.731047645,0.017235402,,0.13427762,0.13427762,0.056151243,"{0.5: 0.000331606939994358, 1.0: 0.0005244159380417307, 1.5: 0.0003040108148377546, 2.0: 0.0009450770212109338, 2.5: 0.0010561127110341139, 3.0: 0.006665972199378212, 3.5: 0.005977544579955089, 4.0: 0.018105747943574318, 4.5: 0.00950135678893088, 5.0: 0.018204389279198385}"
Item-Based KNN,30,5,3,706,neighbours,20,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3457.351227,4.897098055,0.705076301,0.849243552,0.047292594,0.652820467,0.01012282,,0.115533522,0.115533522,0.048218445,"{0.5: 0.00034423287539342727, 1.0: 0.0003173408666481538, 1.5: 0.00029197776176396377, 2.0: 0.0010003133897898125, 2.5: 0.001058557233701049, 3.0: 0.005927277541128945, 3.5: 0.005602827047264146, 4.0: 0.015759841344460235, 4.5: 0.007918356653423789, 5.0: 0.014987211636485646}"
Item-Based KNN,30,5,3,706,neighbours,30,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3468.65669,4.913111458,0.711099539,0.836894169,0.062345609,0.570475659,0.00715552,,0.103116147,0.103116147,0.04293752,"{0.5: 0.000350785261019445, 1.0: 0.0002779809512772354, 1.5: 0.0002759047904743087, 2.0: 0.0010113298164072045, 2.5: 0.001066481551241557, 3.0: 0.0051327361048367215, 3.5: 0.0057396657128962626, 4.0: 0.014311147635177228, 4.5: 0.006539594692619182, 5.0: 0.012981393370802853}"
Item-Based KNN,30,5,3,706,neighbours,40,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3474.609477,4.921543169,0.68372046,0.803383486,0.075187374,0.499280734,0.00578044,,0.094853636,0.094853636,0.037631413,"{0.5: 0.0002551014220011617, 1.0: 0.00026741716819933943, 1.5: 0.0002624149752847768, 2.0: 0.0009421585359441783, 2.5: 0.000869235939263517, 3.0: 0.004520667441387936, 3.5: 0.0054770103757757205, 4.0: 0.012929207523973639, 4.5: 0.006634199785749692, 5.0: 0.012051549720924069}"
Item-Based KNN,30,5,3,706,neighbours,50,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3475.303081,4.92252561,0.707664287,0.828772923,0.086662215,0.441055572,0.005154328,,0.095609065,0.095609065,0.038475763,"{0.5: 0.00036470443707267795, 1.0: 0.00030196425587984796, 1.5: 0.0002918866872104547, 2.0: 0.0010096029424948138, 2.5: 0.0008060860535899603, 3.0: 0.00466531765550291, 3.5: 0.005646035718136134, 4.0: 0.01276034450823063, 4.5: 0.006775870228686949, 5.0: 0.011776879262702022}"
Item-Based KNN,30,5,3,706,neighbours,60,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3477.059548,4.925013524,0.730846652,0.863577112,0.09705342,0.389742591,0.004794865,,0.097167139,0.097167139,0.040121184,"{0.5: 0.0004080942345353603, 1.0: 0.0004044869349653663, 1.5: 0.00031487536768851196, 2.0: 0.0011139830069478755, 2.5: 0.0009279768358648948, 3.0: 0.004665642185537742, 3.5: 0.0056593271092481605, 4.0: 0.01330326771216719, 4.5: 0.006756078545316683, 5.0: 0.011269654449541566}"
Item-Based KNN,30,5,3,706,neighbours,70,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3480.495561,4.929880398,0.728051409,0.85589521,0.106916363,0.353171979,0.004644557,,0.095136922,0.095136922,0.040164463,"{0.5: 0.0003969412377251173, 1.0: 0.0004044869349653663, 1.5: 0.0003499775420174818, 2.0: 0.0010960480291977762, 2.5: 0.0008517316690276302, 3.0: 0.004540738168105422, 3.5: 0.005588122934534936, 4.0: 0.012929825923916347, 4.5: 0.006852683699299856, 5.0: 0.010803018944198417}"
Item-Based KNN,30,5,3,706,neighbours,80,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3519.817084,4.985576607,0.729355463,0.856161777,0.115989343,0.322374863,0.004574675,,0.094711992,0.094711992,0.040906516,"{0.5: 0.000351586570741572, 1.0: 0.000357382096971956, 1.5: 0.00032348215081724974, 2.0: 0.001091684597501338, 2.5: 0.0008245138050581673, 3.0: 0.004607593864134098, 3.5: 0.00554839295642413, 4.0: 0.012949060231165207, 4.5: 0.006910819489122201, 5.0: 0.010610185903314034}"
Item-Based KNN,30,5,3,706,neighbours,90,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3484.280142,4.935240994,0.737432338,0.867476028,0.124670039,0.296129898,0.004580458,,0.096978281,0.096978281,0.041915329,"{0.5: 0.0004033012886713412, 1.0: 0.0003767852558062143, 1.5: 0.0003651418741966866, 2.0: 0.0011370134238542224, 2.5: 0.0008603492041041148, 3.0: 0.004742064769342506, 3.5: 0.005573420175651454, 4.0: 0.013047445314104228, 4.5: 0.006853561879041879, 5.0: 0.010778804375053599}"
Item-Based KNN,30,5,3,706,neighbours,100,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3493.659945,4.948526835,0.728696993,0.845235246,0.133944557,0.279485777,0.005211952,,0.100188857,0.100188857,0.041343248,"{0.5: 4.850541776557984e-05, 1.0: 0.0003761381157194112, 1.5: 0.00037448274865854085, 2.0: 0.0010737516594975392, 2.5: 0.0013201395683064866, 3.0: 0.005596332464952771, 3.5: 0.006273380626624035, 4.0: 0.016083810031302354, 4.5: 0.007801246220398201, 5.0: 0.010108889068478689}"
User-Based CF,30,5,3,706,neighbours,10,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",910.8339585,1.290133086,0.581959494,0.642083587,0.058062863,0.471769382,0.03802586,,0.076298395,0.076298395,0.034352376,"{0.5: 0.00013175835849761072, 1.0: 0.0001082750082332082, 1.5: 0.00021176255923863082, 2.0: 0.0004723923228808704, 2.5: 0.0005489109731557661, 3.0: 0.0020340233537064108, 3.5: 0.003149421366213327, 4.0: 0.0074919978968963005, 4.5: 0.004873429095771096, 5.0: 0.0057178680131184075}"
User-Based CF,30,5,3,706,neighbours,20,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",916.6462489,1.298365792,0.642631144,0.72047329,0.091998921,0.510661847,0.021665025,,0.096506138,0.096506138,0.043014636,"{0.5: 0.00017676669165452466, 1.0: 0.0001900200540758841, 1.5: 0.00031472339892741783, 2.0: 0.0005472974782162957, 2.5: 0.0007096172548560871, 3.0: 0.002895635785086407, 3.5: 0.003949344555797527, 4.0: 0.009879281660715385, 4.5: 0.00647399259738725, 5.0: 0.0073645730906908785}"
User-Based CF,30,5,3,706,neighbours,30,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",921.2877314,1.304940129,0.640501881,0.716972553,0.116901389,0.526072343,0.016519538,,0.10401322,0.10401322,0.046474662,"{0.5: 0.00016482639140605334, 1.0: 0.0002261089466423862, 1.5: 0.00031143458154950693, 2.0: 0.0005536001807322045, 2.5: 0.0008900583437275706, 3.0: 0.0026285736759073942, 3.5: 0.004535117739089351, 4.0: 0.010341870275406829, 4.5: 0.006911523124084174, 5.0: 0.008303899341619453}"
User-Based CF,30,5,3,706,neighbours,40,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",926.4201839,1.312209892,0.622331836,0.701261113,0.137303521,0.533389351,0.014148653,,0.110434372,0.110434372,0.049534939,"{0.5: 0.0001709290994818886, 1.0: 0.00021917069808245827, 1.5: 0.000202673938533107, 2.0: 0.0005784274523363039, 2.5: 0.0008773970913104854, 3.0: 0.0030796327574085344, 3.5: 0.004704900333977025, 4.0: 0.01112192211364243, 4.5: 0.007587065403275517, 5.0: 0.008723826954768489}"
User-Based CF,30,5,3,706,neighbours,50,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",933.2526382,1.32188759,0.64164961,0.72129485,0.154792257,0.538515057,0.012940748,,0.114636449,0.114636449,0.051321215,"{0.5: 0.0001709290994818886, 1.0: 0.00027685739270982254, 1.5: 0.00015439971581296595, 2.0: 0.0005763479791432145, 2.5: 0.0008908979370727991, 3.0: 0.0032688092984299983, 3.5: 0.004830904746747437, 4.0: 0.011613527308700803, 4.5: 0.007735195577139147, 5.0: 0.009367230175784736}"
User-Based CF,30,5,3,706,neighbours,60,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",940.3650015,1.331961758,0.636233117,0.712605668,0.169867935,0.541140281,0.012065889,,0.116430595,0.116430595,0.052183664,"{0.5: 0.00017765439978713492, 1.0: 0.0002843533746512091, 1.5: 0.00017213926010414406, 2.0: 0.0005535247097378746, 2.5: 0.0009517364450340466, 3.0: 0.0030537056082885618, 3.5: 0.004696285063668686, 4.0: 0.011929325798189025, 4.5: 0.008060594043902882, 5.0: 0.009850198646275732}"
User-Based CF,30,5,3,706,neighbours,70,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",947.1302432,1.341544254,0.625726883,0.708678826,0.183146364,0.544095764,0.011452237,,0.119971671,0.119971671,0.053985678,"{0.5: 0.00016225841505995174, 1.0: 0.0002974705153537501, 1.5: 0.00015503912439440856, 2.0: 0.0005238668709423763, 2.5: 0.0009562573132052235, 3.0: 0.003396824867670641, 3.5: 0.005107666164564754, 4.0: 0.012397312320101623, 4.5: 0.008152495166511207, 5.0: 0.010100010153988623}"
User-Based CF,30,5,3,706,neighbours,80,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",956.5623429,1.354904168,0.633522932,0.714065111,0.19527155,0.546439406,0.011014947,,0.121813031,0.121813031,0.054695467,"{0.5: 0.00016083384405933307, 1.0: 0.0002765449651607767, 1.5: 0.00016619212120465144, 2.0: 0.0005323536154850373, 2.5: 0.0009584353361070555, 3.0: 0.0034690944229249024, 3.5: 0.005200437460073834, 4.0: 0.012572007449875675, 4.5: 0.00816413155075754, 5.0: 0.010431875396962728}"
User-Based CF,30,5,3,706,neighbours,90,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",959.2617087,1.358727633,0.634186123,0.716354929,0.206311075,0.54767802,0.010676469,,0.12299339,0.12299339,0.055457979,"{0.5: 0.00015349482543290378, 1.0: 0.000318341310734079, 1.5: 0.00017623772826068587, 2.0: 0.0005994666287531148, 2.5: 0.0009029264718839836, 3.0: 0.0033403222251974975, 3.5: 0.005028494474227223, 4.0: 0.01293393231822895, 4.5: 0.008265684504572235, 5.0: 0.010614704623261612}"
User-Based CF,30,5,3,706,neighbours,100,"{'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",967.3014153,1.370115319,0.599219622,0.673177018,0.21634453,0.54367697,0.009669661,,0.113031161,0.113031161,0.049762354,"{0.5: 0.00013682808674315769, 1.0: 0.0002695066482950858, 1.5: 0.000319093914277251, 2.0: 0.0007598463694063563, 2.5: 0.0008071099137475722, 3.0: 0.003644006147519891, 3.5: 0.004574691864759431, 4.0: 0.01356646532176921, 4.5: 0.007845807561328251, 5.0: 0.00916532429156188}"
