name,playcount,listeners,mbid,url,streamable,tags
Blur,95805301,3007729,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,https://www.last.fm/music/Blur,0,"britpop, rock, indie"
Justin Timberlake,78820395,2989881,596ffa74-3d08-44ef-b113-765d43d12738,https://www.last.fm/music/Justin+Timberlake,0,"pop, rnb, dance"
MGMT,105832000,2980369,c485632c-b784-4ee9-8ea1-c5fb365681fc,https://www.last.fm/music/MGMT,0,"electronic, indie, psychedelic"
David Guetta,95592106,2973321,302bd7b9-d012-4360-897a-93b00c855680,https://www.last.fm/music/David+Guetta,0,"House, dance, electronic"
Rage Against the Machine,96882259,2963240,3798b104-01cb-484c-a3b0-56adc6399b80,https://www.last.fm/music/Rage+Against+the+Machine,0,"rock, alternative rock, alternative"
The Smashing Pumpkins,134120256,2941414,ba0d6274-db14-4ef5-b28d-657ebde1a396,https://www.last.fm/music/The+Smashing+Pumpkins,0,"alternative rock, rock, alternative"
Death Cab for Cutie,173328978,2931529,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,https://www.last.fm/music/Death+Cab+for+Cutie,0,"indie, indie rock, alternative"
Nickelback,87230357,2924373,bc710bcf-8815-42cf-bad2-3f1d12246aeb,https://www.last.fm/music/Nickelback,0,"rock, alternative rock, hard rock"
Christina Aguilera,135749478,2921757,b202beb7-99bd-47e7-8b72-195c8d72ebdd,https://www.last.fm/music/Christina+Aguilera,0,"pop, female vocalists, soul"
Johnny Cash,110198090,2920470,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,https://www.last.fm/music/Johnny+Cash,0,"country, folk, singer-songwriter"
Fall Out Boy,158943160,2906963,516cef4d-0718-4007-9939-f9b38af3f784,https://www.last.fm/music/Fall+Out+Boy,0,"pop punk, rock, emo"
The Who,77940302,2895560,f2fa2f0c-b6d7-4d09-be35-910c110bb342,https://www.last.fm/music/The+Who,0,"classic rock, rock, british"
